2025 Federal Election House of Representatives Distribution of Preferences By Division [Event:31496 Phase:FinalResults Generated:2025-06-16T10:39:02 Cycle:194a421d-c559-4a18-a78a-90c7cf2acb4e Created:2025-06-16T10:36:42 Environment:PROD Site:CANBERRA Server:Internal Version:10.11.386.0]
StateAb,DivisionID,DivisionNm,CountNumber,BallotPosition,CandidateID,Surname,GivenNm,PartyAb,PartyNm,Elected,HistoricElected,CalculationType,CalculationValue
ACT,102,Fenner,2,1,41079,OLATUNBOSUN,Bola,LP,Liberal,N,N,Preference Percent,27.92
ACT,102,Fenner,2,1,41079,OLATUNBOSUN,Bola,LP,Liberal,N,N,Transfer Count,1812
ACT,102,Fenner,2,1,41079,OLATUNBOSUN,Bola,LP,Liberal,N,N,Transfer Percent,10.74
ACT,102,Fenner,2,2,41713,KIKKERT,Elizabeth,FFPA,Family First,N,N,Preference Count,0
ACT,102,Fenner,2,2,41713,KIKKERT,Elizabeth,FFPA,Family First,N,N,Preference Percent,0
ACT,102,Fenner,2,2,41713,KIKKERT,Elizabeth,FFPA,Family First,N,N,Transfer Count,0
ACT,102,Fenner,2,2,41713,KIKKERT,Elizabeth,FFPA,Family First,N,N,Transfer Percent,0
ACT,102,Fenner,2,3,40678,LEIGH,Andrew,ALP,Australian Labor Party,Y,Y,Preference Count,68088
ACT,102,Fenner,2,3,40678,LEIGH,Andrew,ALP,Australian Labor Party,Y,Y,Preference Percent,72.08
ACT,102,Fenner,2,3,40678,LEIGH,Andrew,ALP,Australian Labor Party,Y,Y,Transfer Count,15063
ACT,102,Fenner,2,3,40678,LEIGH,Andrew,ALP,Australian Labor Party,Y,Y,Transfer Percent,89.26
ACT,102,Fenner,2,4,41398,HUNTERFORD,Dani,GRN,Australian Greens,N,N,Preference Count,0
ACT,102,Fenner,2,4,41398,HUNTERFORD,Dani,GRN,Australian Greens,N,N,Preference Percent,0
ACT,102,Fenner,2,4,41398,HUNTERFORD,Dani,GRN,Australian Greens,N,N,Transfer Count,-16875
ACT,102,Fenner,2,4,41398,HUNTERFORD,Dani,GRN,Australian Greens,N,N,Transfer Percent,-100
NSW,103,Banks,0,1,41763,TARUSTE,Allan,CYA,Trumpet of Patriots,N,N,Preference Count,3430
NSW,103,Banks,0,1,41763,TARUSTE,Allan,CYA,Trumpet of Patriots,N,N,Preference Percent,3.47
NSW,103,Banks,0,1,41763,TARUSTE,Allan,CYA,Trumpet of Patriots,N,N,Transfer Count,0
NSW,103,Banks,0,1,41763,TARUSTE,Allan,CYA,Trumpet of Patriots,N,N,Transfer Percent,0
NSW,103,Banks,0,2,41858,NICOL,Todd,ON,Pauline Hanson's One Nation,N,N,Preference Count,3666
NSW,103,Banks,0,2,41858,NICOL,Todd,ON,Pauline Hanson's One Nation,N,N,Preference Percent,3.71
NSW,103,Banks,0,2,41858,NICOL,Todd,ON,Pauline Hanson's One Nation,N,N,Transfer Count,0
NSW,103,Banks,0,2,41858,NICOL,Todd,ON,Pauline Hanson's One Nation,N,N,Transfer Percent,0
NSW,103,Banks,0,3,41990,PEARCE,Phillip,AUD,Australian Democrats,N,N,Preference Count,688
NSW,103,Banks,0,3,41990,PEARCE,Phillip,AUD,Australian Democrats,N,N,Preference Percent,0.7
NSW,103,Banks,0,3,41990,PEARCE,Phillip,AUD,Australian Democrats,N,N,Transfer Count,0
